t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
1505,0.2,43.9020980122931,194.046544902,43.9020980122931,44.756058283058,14.2949768647785,0,-0.184703219458981,191.682660730639,0.102903595952585,1,1,0.249876890300127,0.250611502666101,0.226813592013041,0.226781434365214,0.204624866043832,0.204491200245194,19.2285300929755
1506,0.2,37.6142819211923,200.861299539609,37.6142819211923,38.0546203013505,13.07524503741,0,0.152854872392158,199.358992248394,0.22058438110636,1,1,0.250868722179694,0.250909728323899,0.226438985536616,0.226391752378987,0.202997344489848,0.20284834680615,19.2560209528955
1507,0.2,41.1372738336722,204.017334686331,41.1372738336722,40.6370926802897,12.4918999030216,0,-0.159478460263228,202.906321453212,-0.0568023998125474,1,1,0.250248064909428,0.251835512848379,0.226524937505943,0.227042897193,0.203554252820963,0.203352179825334,19.1926611150984
1508,0.2,42.1374736736621,201.410791279428,42.1374736736621,42.1821348540318,12.8996296126643,0,0.0328075146624629,201.227686960933,0.00502691339318063,1,1,0.248535008618941,0.250229329560361,0.226787995038739,0.226547791191008,0.205074297315165,0.202753196888419,19.2469874650751
1509,0.2,36.0184198832705,203.895244806899,36.0184198832705,36.7012299232551,12.6864631974285,0,-0.0087483276445452,202.767134586035,0.0957958923809973,1,1,0.250089081709062,0.249528950423863,0.225867569645147,0.226404850481155,0.201542678316032,0.20115247397415,19.1953636444228
1510,0.2,43.9961302155936,204.521237330404,43.9961302155936,42.805033562718,12.367659029769,0,0.122050709958982,203.648432355069,0.0799422820919407,1,1,0.248175235166894,0.249719917541224,0.22625760633871,0.225809330701654,0.203104877696497,0.201767554540875,19.1310581682922
1511,0.2,45.0716876306366,199.370383853439,45.0716876306366,45.3852785916197,13.4754725086399,0,0.145202416610806,197.843377336406,0.391844448835189,1,1,0.247611251615567,0.249271428106887,0.225641465208556,0.225546503916553,0.203497124765153,0.202345456644777,19.2384455282117
1512,0.2,41.115652530189,199.676407478171,41.115652530189,41.389856434137,13.3214645095942,0,-0.0805396776437717,198.596646086874,0.312558416278613,1,1,0.247782638273672,0.24998795612281,0.225524213845694,0.225979593056084,0.20450832341933,0.201627834361689,19.0462818654467
1513,0.2,35.2678902821541,203.998999707431,35.2678902821541,35.9572557828195,12.6262150752634,0,-0.0678239272722456,202.73192793957,-0.12280594569485,1,1,0.250270997788145,0.249971463972433,0.225447883915576,0.22550222592182,0.202147776455152,0.202402211173118,19.2364325879899
1514,0.2,40.2096736068057,206.597602299882,40.2096736068057,39.5373894588202,12.2028903126382,0,0.0470599139782689,205.67586571578,0.029348912410027,1,1,0.249740597823525,0.249131829501372,0.224840016656513,0.225236189563619,0.198400353076052,0.204060665919133,19.0854937851707
1515,0.2,57.1339749430588,196.303516673252,57.1339749430588,55.5178815598319,13.8554869763854,0,0.139521287977792,195.873754600383,0.00971027832644998,1,1,0.246628827441702,0.249219798091392,0.225445369824197,0.225071704422998,0.200761495745361,0.202132274338371,19.2123608156028
1516,0.2,57.1941111588916,181.548714540908,57.1941111588916,57.604681096481,16.1728297771565,0,-0.0368310337754158,179.970552457901,-0.0592522890672906,1,1,0.250642007986311,0.250539678787206,0.225427761902922,0.224431400475774,0.202613036056851,0.201817648836682,19.1982756474966
1517,0.2,45.4900498370376,185.872084171919,45.4900498370376,46.6482435734107,15.510894929875,0,-0.0505952856664891,184.660108028539,0.0250396421649497,1,1,0.251297266570166,0.251524344565069,0.225928391957339,0.225398513683815,0.203918972380354,0.201681012995173,18.9420106469341
1518,0.2,33.9361573206886,199.023397501143,33.9361573206886,34.7904551151253,13.2346273534343,0,-0.0596583691452724,197.876277214377,0.164041169174343,1,1,0.252780684443125,0.252080897222597,0.225885941063473,0.22581085288619,0.201854723106526,0.202373393550595,19.1067544734367
1519,0.2,36.2206538652413,207.287737003785,36.2206538652413,35.6667603722046,12.1372749594989,0,0.304872766829272,206.198700028397,0.0604184250469811,1,1,0.251611508498252,0.251474111514651,0.225654559056333,0.226136279207451,0.203132006458828,0.199845942201733,19.1702855067838
1520,0.2,35.9275942988864,207.443728889374,35.9275942988864,36.1101952273881,12.0307598074481,0,-0.141778790844758,206.974695816055,0.0535331171421035,1,1,0.24980141081155,0.249577802831943,0.22544259706766,0.225206037085194,0.201467194775325,0.201384462771465,19.0472283507249
1521,0.2,40.3239308189436,206.64818186249,40.3239308189436,39.8046464242321,12.1347735012049,0,-0.259295848837146,206.071019692772,-0.258716497505324,1,1,0.249039529692018,0.248484123599727,0.225461253007584,0.225626463073847,0.202164069639915,0.202887844995885,19.1871266185793
1522,0.2,41.4025412324975,203.504201951617,41.4025412324975,41.535513067861,12.659651312589,0,-0.0192762810566472,202.986102001178,-0.101019961211711,1,1,0.249085508429157,0.248313528246693,0.224879207718841,0.225626902224572,0.200656017981092,0.20189121851276,19.1064667827408
1523,0.2,45.6628671904132,200.655385472985,45.6628671904132,45.0020156036756,13.0514443321414,0,-0.149607780694441,199.870696961538,-0.0085168861687051,1,1,0.247570746319951,0.248733680053645,0.22491356802749,0.224665218352489,0.200924677005794,0.201954363802262,19.0469946392117
1524,0.2,47.2278063549129,196.195317462782,47.2278063549129,47.1145594747099,13.8455699251022,0,-0.0471315723779972,195.191490919594,-0.185410920320493,1,1,0.249173866607278,0.24907439509113,0.224446370603701,0.224624298154229,0.206295311743109,0.201861316324083,19.2162510907231
1525,0.2,28.2742746926994,202.130547674994,28.2742746926994,30.2443300955024,12.8316483936105,0,-0.0041043461429171,201.111584773501,0.0156288528925304,1,1,0.248287178296008,0.250048489835448,0.224296061121487,0.224163357574599,0.198829854292551,0.201774967540871,18.9933888407622
1526,0.2,41.4629156923157,209.755445207713,41.4629156923157,39.2131664180478,11.6340080611803,0,-0.0779388979801918,208.6298551992,0.228608149039424,1,1,0.248299877514204,0.246383811943972,0.223876063135706,0.223708484468825,0.200354326687368,0.199970107607592,18.8316909639451
1527,0.2,49.9963145845108,198.652239018518,49.9963145845108,49.6489477988228,13.516574043142,0,0.0913387619228798,197.562511989929,0.123688631488935,1,1,0.248253914689834,0.248908910274295,0.223976007321257,0.223800618500909,0.198970227342301,0.200088626576842,18.9055939157763
1528,0.2,54.2604838878463,190.353909733521,54.2604838878463,53.9481741299757,14.9288856985685,0,-0.331316871747866,189.865924708113,-0.164750977531235,1,1,0.249349397092413,0.247940265163378,0.223863279316483,0.223342482922042,0.199843269286182,0.200358291011966,18.8420627797282
1529,0.2,52.449311057216,185.902257058335,52.449311057216,52.8482453479723,15.4477028332435,0,0.0293869042150411,184.535679850581,0.00150970877913891,1,1,0.251779453225251,0.248856952358277,0.223013574768678,0.223489807813897,0.198467968290909,0.200893502044059,19.0017614021983
1530,0.2,53.8779365744966,185.52557134936,53.8779365744966,53.8205289497793,15.5646590799671,0,0.264171328799944,184.921211841937,0.2162070102134,1,1,0.251356720472756,0.252977705522721,0.224366414972326,0.22408096560106,0.199670120557815,0.200598653187841,18.9770738986614
1531,0.2,50.5782732736185,185.448595504847,50.5782732736185,51.0840957960262,15.4675978973169,0,0.186104927088915,184.048828024799,-0.00923246322621137,1,1,0.254399983955226,0.252838459828639,0.224315607313465,0.224930624964684,0.19950386257689,0.202614957222125,19.3402177170561
1532,0.2,47.6410208499525,189.45089921227,47.6410208499525,47.9221167280281,14.7335237958438,0,-0.0909719291859257,188.77739867839,-0.0204113986063994,1,1,0.251121699527813,0.2523466069996,0.225556723759488,0.224560883722835,0.201941528829783,0.202262677605464,19.1347708879216
1533,0.2,38.2768467534406,196.974481968528,38.2768467534406,39.2531649781265,13.697256738263,0,0.293719125598516,195.611902180139,0.188687951610332,1,1,0.253359179634611,0.253942872815714,0.225584054954627,0.225526603730102,0.201580632548163,0.20198891418972,19.0979900395891
1534,0.2,34.1511221944009,204.827069137727,34.1511221944009,34.3004917257794,12.3471122835843,0,0.0770575384059422,204.310332395682,0.0928669177171196,1,1,0.254228887503776,0.251427585865905,0.225873664622511,0.225915125773518,0.200493575312026,0.201747899649285,19.0714189079903
1535,0.2,38.2936636052075,208.030906576301,38.2936636052075,37.7811432303661,11.93527268805,0,0.12341852655923,206.431242191272,-0.222374844632232,1,1,0.253899879794395,0.251622536995964,0.226015536661017,0.226183728361323,0.201536721503947,0.200981032635003,18.7401887174518
1536,0.2,38.4030803615661,205.957768093925,38.4030803615661,38.5884932140984,12.2760620972451,0,-0.205293704311482,205.393613939088,0.0558648152921208,1,1,0.250499537244048,0.249350511356915,0.225586640142209,0.226047851791504,0.201514593788963,0.20005685551555,18.9700375663794
1537,0.2,37.8038913653384,206.0517878566,37.8038913653384,37.7072853353538,11.9326271481237,0,-0.291666739036409,205.468431594227,0.224973802843249,1,1,0.250400718434087,0.248000620317944,0.224885466229149,0.224979335784697,0.201867520354655,0.201813124343628,19.0208023890211
1538,0.2,37.0044898463516,206.41550241576,37.0044898463516,37.1016107030346,12.2160127489702,0,-0.0590784571946651,205.446434466507,-0.0619981423050846,1,1,0.249391867172853,0.248730211512188,0.22414912242962,0.224941729970553,0.199588692747828,0.202394631402553,19.125977951833
1539,0.2,44.5725082287316,204.239577965114,44.5725082287316,43.7163439029303,12.4924579452576,0,0.0712601196696797,203.385449292977,0.0684644042620729,1,1,0.248765181174715,0.24703197925858,0.224273880345223,0.224277931530267,0.199242197464392,0.200237567589451,19.0224608001995
1540,0.2,50.7644601710274,196.279147422119,50.7644601710274,50.2646151135564,13.9804442721864,0,0.255149576554971,195.153112321287,0.0133539557299815,1,1,0.24829747842142,0.247816357786811,0.224150127575267,0.223868446176965,0.20088565257206,0.201067067155772,19.1161244291194
1541,0.2,46.5079106556416,192.271023456583,46.5079106556416,47.1125281888589,14.3510141259396,0,-0.022151964439819,191.908439964877,-0.0554472943633303,1,1,0.249043506608744,0.249153804386479,0.223998226555843,0.2240269889923,0.198124362905158,0.202059712860381,18.8805351879484
1542,0.2,51.5494133479498,192.738916906118,51.5494133479498,50.8224693165978,14.5877094680321,0,-0.0161111499515521,191.54262236052,-0.0854258963456634,1,1,0.25191735302524,0.248625539283705,0.224829010238435,0.224203499257326,0.200078509931619,0.20117947101082,19.0182121019139
1543,0.2,48.9962134036258,190.251790335257,48.9962134036258,49.4399711186092,15.0560083638304,0,-0.0880825319178033,188.340979312157,0.0596329287166622,1,1,0.249598805785764,0.251144727852034,0.224370032581558,0.223935201261034,0.199851705882092,0.200670390439645,18.9765785472086
1544,0.2,45.6741605515862,192.918330034439,45.6741605515862,45.9215541968106,14.4433160218578,0,-0.057018833100189,191.43007210518,0.0476085486935083,1,1,0.251617825705084,0.252975663588653,0.224814686873168,0.224445003566818,0.202161750415203,0.199956889879864,18.8745467582797
1545,0.2,36.7546061769934,199.217125013528,36.7546061769934,37.7599200075314,13.3027697242106,0,-0.0859816495744869,197.840838217301,0.196685541567784,1,1,0.248781459141778,0.25190160237674,0.225157728614916,0.224415362915952,0.198429889520402,0.200286172116301,19.2498380890532
1546,0.2,44.3437971949404,202.264552152347,44.3437971949404,43.2203336362196,12.7512118760832,0,0.291253245412429,201.990306734562,-0.0331196643045449,1,1,0.250915592595969,0.250125355373619,0.224931032116818,0.224815491447943,0.204198996280764,0.200049392516943,18.8974692629877
1547,0.2,32.2149135293324,203.169721245552,32.2149135293324,33.7759173302119,12.6853665361213,0,-0.0728763780230626,202.077172765398,-0.36355700423981,1,1,0.251014283738906,0.250297868720005,0.22551947313901,0.225156864125237,0.201073770324544,0.201671269130244,19.3968170599034
1548,0.2,32.738133185922,210.788564163669,32.738133185922,32.1802413868793,11.5841317114091,0,-0.211791008006242,209.93833423233,-0.147776267948287,1,1,0.248145330861155,0.248686168750863,0.225017548860634,0.224268499906632,0.19687156466512,0.201140956023881,18.997751459037
1549,0.2,52.2577062000444,203.926031210049,52.2577062000444,50.3563053263858,12.5972789415526,0,-0.0315322129885817,203.183881687307,-0.0324606698572479,1,1,0.247289074926664,0.24721537617886,0.224922755756824,0.224413357109085,0.19826828238734,0.199801099279962,18.925726999271
1550,0.2,58.3680753728136,186.487873426668,58.3680753728136,58.3287687060265,15.4027751395956,0,0.134506356346448,185.272327800125,0.0623267149712493,1,1,0.249796972445903,0.247677062201192,0.22402018422934,0.224153125158119,0.201012811841012,0.199911365545799,18.8674651169978
1551,0.2,47.275935122534,184.930842898689,47.275935122534,48.395822675298,15.6854680242111,0,0.33751230754219,183.536186247533,0.0811073162600351,1,1,0.250058072049428,0.252752742175562,0.224291531229246,0.22434192638812,0.202656347853907,0.200859020813154,19.0829702864658
1552,0.2,33.8256728041737,197.935468918173,33.8256728041737,34.8023662881961,13.4216559569312,0,0.165971599842375,196.755913783966,-0.310831261360323,1,1,0.251796629973032,0.251221223695457,0.223862101792115,0.224398357436732,0.201646381211183,0.199649817328401,19.1110034524633
