t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
10,0.2,100,86.7406826303409,100,100.017296564884,27.1218787333291,0,-0.166128404213031,85.8460119854066,-0.0361732496637204,1,1,0.104169425804399,0.103590093607036,0.0616374225001068,0.0605995040413053,0.0475829095370201,0.0476775044977447,9.29853722716286
11,0.2,100,86.9361828312545,100,99.9300250144876,27.2570679384459,0,0.217044983914393,86.4158162067279,0.219680339950932,1,1,0.115347845058315,0.111030660481933,0.0683489002637832,0.0673600896373614,0.0543485810513875,0.0534267993776261,9.99038884828344
12,0.2,100,86.1999348018338,100,100.009831402803,27.2842877347356,0,-0.0837281798584422,85.3487853544405,0.0152995516414492,1,1,0.119883965973962,0.120396836972627,0.0735375234980067,0.073875882027291,0.0592669554417233,0.058106522964668,10.5086181476754
13,0.2,100,86.7630266047034,100,99.9548174822923,27.1178254138529,0,-0.177386996444825,85.581357063059,-0.09464658468461,1,1,0.127080800069913,0.126984795613458,0.0797619831840794,0.0807707676687078,0.0660493388360996,0.0631762427047246,10.7931945827638
14,0.2,100,86.8140770376719,100,99.9261910753562,27.2147501089268,0,0.228383502347781,85.3281883813252,-0.102903399450043,1,1,0.133261065142694,0.134424899528941,0.0864867946154897,0.0868992683569421,0.0697004299416395,0.0683768111561661,11.1901615290725
15,0.2,100,86.1140003998711,100,99.9802758527798,27.238271068015,0,0.0738274978401272,85.8668681560079,0.199451516685416,1,1,0.143909644593178,0.141602665125828,0.0922672790950524,0.0922168580589695,0.0737273661014758,0.0741704305150726,11.4797759919448
16,0.2,100,86.4756568610739,100,100.010602256712,27.2732986856199,0,-0.0502655623370651,85.8322274785863,0.221279357892662,1,1,0.150669090218719,0.148898920185273,0.098507598303676,0.0992333254405028,0.0795259403181227,0.0799962852621449,12.3716518428566
17,0.2,100,86.2067644434427,100,100.014517043055,27.3081387142526,0,0.0323092570446355,85.5457592065875,-0.159035987846883,1,1,0.154258406600507,0.154976044648382,0.104564394632518,0.104165913763033,0.0844490006312191,0.0826251654756129,12.2153962256957
18,0.2,100,86.2992855470766,100,99.9396197657695,27.2010559896419,0,-0.0896374792344935,86.0015880132425,0.128832644589006,1,1,0.165926752771816,0.163758882170779,0.110253382516128,0.109857360007782,0.0916027435362616,0.0886752846501467,12.6702458336188
19,0.2,100,86.4218418495054,100,100.067030623749,27.266239440347,0,-0.093801537353179,85.1467293523531,0.176628325203988,1,1,0.170145640245166,0.169299175436141,0.116029369392011,0.116285695212097,0.0984707459760053,0.0944089130045183,12.85886456831
20,0.2,100,86.6854677804039,100,99.9129322865091,27.3802992964793,0,0.11424659832747,85.592950102276,-0.103906045558697,1,1,0.180249310700023,0.175773116988625,0.122137709557578,0.121671379514706,0.101094815683148,0.0987070162367479,13.5483476613712
21,0.2,100,86.7712536190549,100,100.062650156887,27.1300447295837,0,0.131433169036511,85.6794310097107,-0.0679986724786549,1,1,0.181709781090022,0.182819632379355,0.12757738001386,0.126644875553087,0.103514718650131,0.103455110268761,13.7917324489621
22,0.2,100,86.3810737501598,100,100.031158451752,27.1768323493557,0,0.00390562101808127,85.5003019235349,0.30038697134946,1,1,0.189321468435631,0.188686406316022,0.132113609816029,0.132888045988498,0.108686162425351,0.108529182616828,14.1227487196332
23,0.2,100,86.6496012886666,100,99.9683328724333,27.1480564186066,0,-0.107854097312246,85.9680697479643,-0.207914628020214,1,1,0.194048190466887,0.194524221570441,0.138229368230236,0.138117751177188,0.112566566576388,0.112213730330154,14.1459956307457
24,0.2,100,86.603915189386,100,99.8704112181401,27.2223152882124,0,-0.20956735912618,85.6501530691248,-0.0624858665405459,1,1,0.20305945663807,0.201058236146527,0.14330787247325,0.143568334516942,0.118758954395911,0.117614733934793,14.4361008620875
25,0.2,100,87.1155464352153,100,100.125303412159,27.0840532299361,0,0.073062972063088,86.0737689017955,-0.10092923957114,1,1,0.207469458375118,0.206760478963702,0.14895035787859,0.148132765361604,0.121530057820019,0.121268624695719,14.7318208946947
26,0.2,100,86.5386489022849,100,100.052915349628,27.1311365558511,0,-0.13530294481902,86.0038191772563,0.0210543101595665,1,1,0.210448161804031,0.21256796704085,0.154271358455682,0.153534803256182,0.125622423030854,0.125901376651319,14.9439775174815
27,0.2,100,87.0693524218691,100,99.8356699616653,27.2033701714465,0,0.012585577103191,84.9639525026598,-0.0215181450272907,1,1,0.219642302467935,0.218554503592665,0.158714444855019,0.159004824850107,0.131213007698039,0.130547821595939,15.4585878664392
28,0.2,100,86.2452184691665,100,99.934602376912,27.2279986668206,0,0.00875697312236137,86.1450065775076,0.170060478356407,1,1,0.221872010950727,0.223928803154397,0.16395588551325,0.163135813446102,0.133863481802144,0.135003102102702,15.6034024590304
29,0.2,100,86.6003698279297,100,99.9786079304679,27.2279982740007,0,-0.125459989471268,85.8650589152643,0.0932062390574574,1,1,0.230440899510391,0.230426492614627,0.168750335430138,0.168715542311179,0.141248540224543,0.138999831582276,15.736940993957
30,0.2,100,86.2227577012684,100,99.9145901546722,27.1523121455595,0,-0.0811573232551575,84.8204681167724,-0.00625902407719384,1,1,0.235968052068551,0.234980189706969,0.173723104487006,0.173169565473531,0.143796427815606,0.144127908144486,16.2202748055644
31,0.2,100,86.4928498704275,100,100.010340488605,27.1842854753423,0,-0.133265760356541,85.5971141229459,-0.0552859056671733,1,1,0.238747495320902,0.240457187571542,0.177850930666758,0.178859031581662,0.147024359282093,0.146560462728027,16.3084853712543
32,0.2,100,86.6961971193906,100,99.9041352924078,27.2701354220883,0,-0.158463368179221,86.4136542163017,-0.0263157566032728,1,1,0.243547207331491,0.245423397696171,0.182840811503561,0.183535745430494,0.148609791651768,0.150757966681043,16.6314707062508
33,0.2,100,86.4818283239639,100,100.150324140602,27.1899037246851,0,-0.216774848701364,85.6745539444847,0.136375127317478,1,1,0.249245552724167,0.248837317887667,0.187833176934932,0.18708429236734,0.157847807887102,0.155274368672297,16.7393386764797
34,0.2,100,87.0757544568533,100,100.073695618725,27.1291941849745,0,-0.104198626015719,85.837495547425,-0.00121526323778034,1,1,0.25513498264193,0.255548132625368,0.192606703711043,0.192199157804041,0.160314477475696,0.160105187489488,17.0188188160672
35,0.2,100,86.5154626542344,100,100.030504081222,27.2370417399623,0,0.304396832017338,85.4848033252591,-0.0717215788783114,1,1,0.260011427431056,0.260716302040654,0.196726290309967,0.197207148333794,0.164173732469967,0.162315461787484,17.1269334637469
36,0.2,100,86.6342583261005,100,99.8843040283239,27.0676457332035,0,0.233765366542491,85.761581364748,-0.159816099131207,1,1,0.265245854988056,0.263808040129413,0.201114014821513,0.201641665917756,0.16517007090945,0.166694404837524,17.5351175297582
37,0.2,100,86.5143481066704,100,100.077230445559,27.2739021151836,0,-0.0659262617069625,85.475448338091,-0.126327796695026,1,1,0.270320948886204,0.269746444967152,0.205768157503858,0.206403378949852,0.170339712018426,0.171270863216004,17.762586162913
38,0.2,94.6392201956019,90.660633785989,94.6392201956019,95.6200063992305,26.8651619949736,0,0.0950129423778488,89.693662995554,-0.258608216704614,1,1,0.272685643100569,0.274406069997986,0.210257885329798,0.209918016867441,0.17517104662199,0.174497594262966,17.7855884678884
39,0.2,82.0656712888791,111.46892786764,82.0656712888791,83.3366840730676,24.7829165637815,0,-0.0144132221553779,109.873010638846,0.14151286554655,1,1,0.277419172572354,0.278113179986735,0.214365162361843,0.214040497549412,0.179125501036214,0.179299446870388,17.6529071852707
40,0.2,71.1061672538306,135.537143139149,71.1061672538306,72.0401395331702,22.2258078850791,0,-0.100386562195383,134.162317110534,0.104824205300007,1,1,0.281526768141378,0.279282725741004,0.218636070160683,0.218696520601128,0.183515648563596,0.182037824073714,18.0451872008581
41,0.2,60.6140677596125,155.718029335134,60.6140677596125,61.6978139086884,19.6034064320553,0,0.0513249255656127,154.86038422352,0.228509164352132,1,1,0.278660225879327,0.280445795363025,0.221993249312905,0.222052229429381,0.186072721375569,0.185349700901775,18.1795982437397
42,0.2,55.9764437072338,171.949003661217,55.9764437072338,56.3935883143658,17.4887867486711,0,-0.00514793935377267,170.866049980862,-0.210864842185959,1,1,0.278832305095169,0.279142396434818,0.225073686483658,0.224984676877251,0.187647220176726,0.189964380702263,18.23951036821
43,0.2,58.2213742928274,176.654154360194,58.2213742928274,57.9713232386485,16.8852306719414,0,-0.0508912303397509,175.640751559999,0.00986959424043982,1,1,0.279245152252338,0.276739826016923,0.227438928561196,0.227215213934151,0.188495234000065,0.191420254262776,18.4241342421488
44,0.2,64.9285649095998,171.572627314834,64.9285649095998,64.4178060338394,17.4938499363326,0,0.158040894130369,170.60360850026,0.230078389810361,1,1,0.276439914166663,0.275998170862589,0.228967394652406,0.229354990528993,0.193911929371581,0.195291338367982,18.8127827304125
45,0.2,56.5956634640546,169.963796866993,56.5956634640546,57.8078279795942,17.7958519087718,0,0.0465543150148856,169.062192380441,-0.126233965142204,1,1,0.274850306580408,0.276696131857561,0.230636455468102,0.230608066542246,0.196963697411223,0.195757909368687,18.8259637950911
46,0.2,45.2456826296979,183.2592361004,45.2456826296979,46.3196946815474,15.7377909421519,0,0.142782458668028,182.452182896558,0.12574025091154,1,1,0.273898303377109,0.272857458390131,0.231708387656935,0.231949892559757,0.199999452314302,0.199238068538277,18.8709660743698
47,0.2,36.322504326081,197.73421098122,36.322504326081,37.0294398523547,13.5935705686487,0,-0.138425520334602,196.548688091165,-0.159297741657976,1,1,0.272796550331528,0.272634630538663,0.233486859606025,0.23289213385869,0.201633473181585,0.201375785322817,19.2634311000618
48,0.2,33.0720913693427,206.70422232844,33.0720913693427,33.0414718967598,12.2638040551338,0,0.170846875322327,205.564365438466,-0.162054454527483,1,1,0.266763836219925,0.268905438111592,0.234163139818963,0.234164749094536,0.204911613259357,0.202675216942677,19.1606330968667
49,0.2,27.1615563895444,211.507551155339,27.1615563895444,27.7917964813807,11.1550737395729,0,0.0824730447817748,210.996520998768,0.0714167854594358,1,1,0.268612552110929,0.265997552089986,0.234879329332139,0.234502495484936,0.202815694048228,0.204772319455142,19.4811538388988
50,0.2,35.9201876456715,213.588208083557,35.9201876456715,34.7364732134179,10.871012351781,0,-0.108914805720046,212.276004574646,0.165194262897304,1,1,0.261773538242761,0.263493569466164,0.234236951567913,0.233998896076356,0.20591751002001,0.205513126401614,19.5237014254089
51,0.2,36.7680953838493,209.346586720935,36.7680953838493,37.083455073049,11.7613961268476,0,0.25612459526463,208.961111159542,0.0705282420532084,1,1,0.264200964378272,0.26011764778786,0.234005583430963,0.233097397932577,0.207568439432234,0.205729130591885,19.1701440535494
52,0.2,32.1279554934885,209.929915592197,32.1279554934885,32.5153302553948,11.4630264954439,0,0.155786979751265,209.082953733534,-0.16365575129199,1,1,0.258370530153283,0.257580830202475,0.23365018716992,0.232938937767278,0.207462785626126,0.208048233325706,19.383973504945
53,0.2,33.0231146606987,211.640608173349,33.0231146606987,32.6818662366281,11.2867483893513,0,0.276276499390123,211.209858584403,0.115625925519374,1,1,0.256087401871967,0.257359621826582,0.232609378469147,0.232423179414562,0.208195169906178,0.204572621904028,19.29599682974
54,0.2,34.4373039898573,210.690708996336,34.4373039898573,34.3582585115489,11.2723713294807,0,0.06450169397828,210.291284029363,-0.196104444248263,1,1,0.250870768143641,0.255210966860153,0.231647334035773,0.232278979577584,0.206366221210524,0.205801374715768,19.1535130245849
55,0.2,42.6732036946701,207.722114152133,42.6732036946701,41.81825585226,11.9794352986425,0,0.0418804099552768,206.657996529923,-0.172963832284588,1,1,0.255958224339186,0.253980481508846,0.231056142307112,0.231400806418748,0.20797682925782,0.206848630667975,19.0603699505037
56,0.2,43.2245293947454,202.307047359178,43.2245293947454,43.3472862889729,12.8917211359209,0,-0.00937063084124767,200.369160392979,-0.00496959214654077,1,1,0.253753528125055,0.252074668201858,0.230517372559317,0.23045930882767,0.209469302105092,0.205885385420896,19.2236523150199
57,0.2,36.6663073136618,203.504466146733,36.6663073136618,37.1744953266841,12.6890994268182,0,-0.338113499170218,201.866412803425,0.260447536943327,1,1,0.251990212741675,0.253297153967888,0.229962062502694,0.230198519888651,0.206835734466697,0.207640357647009,19.2227081797136
58,0.2,42.1897448620184,204.29327483659,42.1897448620184,41.2328832399107,12.4351875534596,0,0.19739011259973,203.848444530976,-0.0791796260058805,1,1,0.253538595161551,0.252461184823827,0.229159507088762,0.22960954722998,0.206423754471674,0.206138851749762,19.2573943049383
59,0.2,48.6929570762252,198.889526630169,48.6929570762252,48.1292525662291,13.4641733426821,0,-0.0376434681103067,197.503999146498,0.17155001935539,1,1,0.253626118931569,0.253471722159121,0.229739982398835,0.228974702880226,0.207554581073595,0.204715468695347,19.1755783107348
60,0.2,46.4442311599206,194.32214600729,46.4442311599206,46.8815112268214,14.089394437441,0,-0.213614849168619,193.593467873752,-0.138589440180512,1,1,0.25522892457149,0.253515724983726,0.229363195049986,0.228626880601451,0.207988537441504,0.205178464879987,19.3071249240451
61,0.2,41.6652910720266,197.637084559418,41.6652910720266,42.0477699979463,13.7492846509838,0,-0.0249048369681105,196.200248822362,-0.0556457629751064,1,1,0.249892398904866,0.253035045973387,0.229254076931133,0.228776104168591,0.207500580015415,0.20518999484167,19.2126910231939
