t	SP	CV	PV	e	P	G	dP	F1	L1	L2	L3	F2	dist
0.0	0.0	0.0	0.018204310088618347	-0.018204310088618347	253.8396000934767	-0.02517866758892774	252.84393343540626	-0.026284013623581962	0.01921382351946326	0.018215538050445977	0.018204310088618347	6.979147839016349	7.0
1.0	0.0	0.0	0.019974523267994874	-0.017838997941481204	253.14324257910502	-0.008928830762249356	252.57290909699262	-0.029642024384172388	0.019055893390431594	0.017811041716078554	0.019974523267994874	6.9770733637044815	7.0
2.0	0.0	11.173115046325991	0.016339370091193867	-0.018221817627608848	249.41613685611446	9.134341127228785	249.12804946838884	1.911742808750309	0.023640089207317794	0.01820399913770487	0.016339370091193867	7.04134735557801	7.0
3.0	0.0	21.41610512564091	0.01772350563269728	-0.01821183230299464	236.58610713698766	20.26774680630037	235.2390152111626	6.0213055663312725	0.02101943983553887	0.01865759533378916	0.01772350563269728	7.19584990190413	7.0
4.0	0.0	24.546131306453375	0.018452711612399256	-0.018606167079215332	226.6519573218517	24.41714768056877	225.67144901957653	8.433899658857149	0.02242863869414718	0.020744862833835937	0.018452711612399256	7.437257827214307	7.0
5.0	0.0	23.41302714718067	0.022768601372257023	-0.019510134067079292	222.43589291254392	23.73302532997674	221.1664575268019	9.223034262267804	0.024224556756472306	0.02244331783843	0.022768601372257023	7.573354628251769	7.0
6.0	0.0	19.623372819933238	0.023855774299965472	-0.020725490059824762	221.4718669966247	20.23949000409648	220.93178495439878	9.231792703237256	0.032301029057969506	0.025126883292905952	0.023855774299965472	7.867567899326921	7.0
7.0	0.0	15.918656925934673	0.023244063058265978	-0.022030419978366505	223.76486267339607	16.331123505070302	222.78123381767023	8.73682015320281	0.029243984134160777	0.02715180372891798	0.023244063058265978	8.248390623011407	7.0
8.0	0.0	12.02494615703384	0.026950075901855407	-0.023666429650266732	225.61807189115677	12.967268369043756	225.43354318658518	8.281106644176557	0.03256539855277592	0.029165769350528073	0.026950075901855407	8.63349426931853	7.0
9.0	0.0	7.247266585942283	0.029713249350661167	-0.025604196599508605	229.58782838709823	8.017963804383696	228.71944171079716	7.572818374782668	0.034641277214164864	0.030851878860524654	0.029713249350661167	9.030594375636257	7.0
10.0	0.0	3.2136254859899167	0.03261860029648864	-0.027349916503224783	237.53609507861458	3.810925296149259	237.07394326779794	5.282900614652624	0.03931100981929906	0.032534254004847316	0.03261860029648864	9.065049306037732	7.0
11.0	0.0	0.8587815349587206	0.03293783346309645	-0.0287106714117861	245.68929250388118	1.2669938532233946	245.27717929784362	2.8801077448908967	0.03655480514947125	0.033465474805586946	0.03293783346309645	9.45708196047613	7.0
12.0	0.0	0.11622344227201135	0.03123041596919103	-0.030602184425366778	250.38302096003218	0.18287489764781284	249.41970526366293	1.1647587948235056	0.03573654090703918	0.03424349464067622	0.03123041596919103	9.294141979069924	7.0
13.0	0.0	0.015729132478616754	0.032750421088312394	-0.031143844305621126	252.03782327856672	0.13574889221721448	251.22737440671872	0.5734725263308961	0.0329121847552204	0.03338820776791793	0.032750421088312394	9.54262335215036	7.0
14.0	0.0	0.013156953943849732	0.03021058560304352	-0.03173345569684333	253.5796563135668	0.048605794434636626	252.03352002093538	0.26063401604986386	0.032889224169327255	0.03300852064925985	0.03021058560304352	9.390897458382108	7.0
15.0	0.0	0.28648733581382374	0.03167447013445776	-0.03182853223493507	252.7439645978574	0.20643248207555667	251.8919264920868	0.1813508017049324	0.029365685735034258	0.03212243392285117	0.03167447013445776	9.13268636775743	7.0
16.0	0.0	0.2092316365098416	0.030738997226917496	-0.031657748778004806	253.02493865592064	-0.09662701816297689	252.18320896611377	0.17857747719793607	0.03310733022864941	0.03184049896225058	0.030738997226917496	9.180913614582789	7.0
17.0	0.0	0.4246042381522725	0.030460663629460344	-0.03139180719122463	254.14171227460488	0.2629621552600286	252.2920578461177	0.19038615015664773	0.032244364548212834	0.03120777115591561	0.030460663629460344	9.207917248444549	7.0
18.0	0.0	0.4986230578003038	0.031377222849875736	-0.03091004489450444	253.66518799365872	0.3073471967119302	251.73369355332295	0.0365694949202621	0.031085667440159195	0.03092291237560844	0.031377222849875736	9.092150089217927	7.0
19.0	0.0	0.1920785628386116	0.031281818299806065	-0.0305826126834575	253.02137485474017	0.3537185021517994	252.0669993000139	0.3385135382610679	0.03015730692800145	0.02930109518447293	0.031281818299806065	9.06892439799945	7.0
20.0	0.0	0.025995006705444995	0.03034744735894286	-0.030263353915405328	253.5170497874454	-0.16233900153392813	252.05532822678896	0.16204775978513036	0.03201706881357138	0.02961324112156991	0.03034744735894286	8.806960389615279	7.0
21.0	0.0	0.007387790868847676	0.028302383254727174	-0.02984710552206509	253.70110213727844	0.0008208184572138701	252.5865337847564	0.05854504561632933	0.027774784788305286	0.02906584118882909	0.028302383254727174	8.818824630580766	7.0
22.0	0.0	0.09616948168601497	0.028595600309384583	-0.02960996580309112	253.8981826772318	0.2303142523503712	252.56860704956193	0.03806661331410986	0.029746889151095128	0.0286456355141452	0.028595600309384583	8.681903724129693	7.0
23.0	0.0	0.12605707104661693	0.028336941570618397	-0.028952188235551474	253.7986849242518	0.14895568746101237	252.70456038430316	0.17894573778634892	0.031240179259968057	0.028474033313609384	0.028336941570618397	8.745674795295757	7.0
24.0	0.0	0.252138288930159	0.02804848297177295	-0.028300911019101458	253.54413357657174	0.40153560332048316	252.38011052976486	0.10526616930608802	0.02756059963792258	0.027504943205295607	0.02804848297177295	8.738998831288509	7.0
25.0	0.0	0.14728914926002337	0.027292625707337967	-0.02765662285166762	253.20826522716288	0.37279698978230735	252.05556414212984	0.11968155961788728	0.027426067735310245	0.02726315719628132	0.027292625707337967	8.439357754455953	7.0
26.0	0.0	0.019933418732784976	0.02581334150875198	-0.027341206767840447	253.44805357083922	0.18059476220677204	252.61791051204708	0.10254003483398846	0.027389203550756157	0.026980012927831868	0.02581334150875198	8.397668932009905	7.0
27.0	0.0	0.0026976948700754544	0.026783069295416313	-0.026948662236009863	253.6118905271251	-0.11090887183985126	252.2967307216221	0.12243562462479735	0.029413411467450978	0.026529264516235624	0.026783069295416313	8.406234209886872	7.0
28.0	0.0	0.0003650932993276186	0.024881917171589756	-0.026694572304641066	254.03932865301897	0.08367678898902613	252.88019289144248	-0.016834531970957623	0.02558063521667321	0.02657453919953083	0.024881917171589756	8.406773821893127	7.0
29.0	0.0	0.0226255016271251	0.02776760473372577	-0.026059930388542332	253.75853269589837	-0.11251223479823072	252.3114413540496	-0.05871241966183474	0.02893084817493124	0.02630546417964794	0.02776760473372577	8.365019111113707	7.0
30.0	0.0	0.03402948350114002	0.025422433205633182	-0.025765405546372737	253.90732913887666	-0.031197449135701896	252.65769601808245	0.035511380655394297	0.026452596033821104	0.025835976212999278	0.025422433205633182	8.30982968509793	7.0
31.0	0.0	0.00460538978802242	0.024967648148894066	-0.02553908568171086	253.27215312718752	-0.19216999394674347	252.80870283877056	-0.035003751896980795	0.02523234455797873	0.02477697612255603	0.024967648148894066	8.17531320060209	7.0
32.0	0.0	0.0006232717313770175	0.0237498219508864	-0.02541563527761244	253.48211433615592	0.07306135194355923	252.64294679383562	-0.08040257190703903	0.02411638176093528	0.02408684966772855	0.0237498219508864	8.04119408906616	7.0
33.0	0.0	0.009516422920353033	0.024641165391588147	-0.02501230866422064	253.66082340310444	0.13457689186721522	252.53954816406866	0.2259740385037484	0.023546692859693345	0.024454175317140163	0.024641165391588147	7.965211322575807	7.0
34.0	0.0	0.02835475758575213	0.02568264630441968	-0.02467863560652538	253.56685466324961	-0.026183944790601772	252.26111799912644	0.13333343889497662	0.02533315207894317	0.024075565135460626	0.02568264630441968	8.16453195222354	7.0
35.0	0.0	0.0038373991489732543	0.022602335553194863	-0.02444490710590809	253.50234502148956	0.0574287861420977	252.819775988592	0.09073148039006979	0.02085670090155866	0.02400332013134408	0.022602335553194863	8.039849050781681	7.0
36.0	0.0	0.409452754094907	0.022676619983777454	-0.023792917660084564	253.53756493948765	0.37937078249988243	252.60360394140045	0.2302044350939812	0.021663717261358413	0.02372502480330913	0.022676619983777454	7.971982203374221	7.0
37.0	0.0	0.2996326604516366	0.023286032610966304	-0.023112163741256325	252.1739522072393	0.5538953377893964	251.7672904160824	0.40210726038090533	0.024023892242260616	0.023442434655032023	0.023286032610966304	7.9406427414470775	7.0
