t	SP	CV	PV	e	P	G	dP	F1	L1	L2	L3	F2	dist
83.0	0.2	29.697591061254535	0.21488503192094954	-0.017716783599675656	214.37521163631132	29.696621042572325	214.43591183788246	10.6694213618843	0.26345251407014864	0.2419501662610369	0.21488503192094954	22.633880311621972	7.0
84.0	0.2	29.881803569997604	0.21372670637747718	-0.01664182183194232	215.4843154999992	29.59227065947582	214.0160968871515	10.525206479215713	0.2610111489671734	0.24028063943234013	0.21372670637747718	22.36972581802775	7.0
85.0	0.2	30.78957205468389	0.21592936382113417	-0.015326826452796066	214.25062734579484	30.6973347338082	213.7806491808848	10.620187527746982	0.2598355007670452	0.23845537863178626	0.21592936382113417	22.509912522340457	7.0
86.0	0.2	30.1766189540433	0.21139658128775674	-0.014645975821019508	214.58911647887854	30.55082201867802	213.19907164835715	10.701034254209034	0.2585693120418201	0.2368346701957911	0.21139658128775674	22.42981267310548	7.0
87.0	0.2	31.256081050769517	0.21041674810360173	-0.012840128280807744	214.62587163710376	30.53803122593012	213.5128729229753	10.592321939518861	0.2542837395939227	0.23621816162216022	0.21041674810360173	22.364256615628086	7.0
88.0	0.2	32.396063021500176	0.21034549872344768	-0.011671404562876825	213.33750603023918	32.24968787711384	211.7836501430964	11.039868226518957	0.2548091863978819	0.23444565236269616	0.21034549872344768	22.31694012106237	7.0
89.0	0.2	32.67411797893943	0.21069635003229634	-0.010409671756348104	212.8280610060044	32.71662654947895	211.4613445610346	10.962630559036203	0.25496940362204557	0.23281170251575012	0.21069635003229634	22.255258648278588	7.0
90.0	0.2	32.53125228271403	0.2065882714465266	-0.0091675263453537	212.60649550846526	32.56232333511055	211.46564945216588	11.10987115233532	0.2545207325167104	0.2326693467265879	0.2065882714465266	22.339544539113966	7.0
91.0	0.2	33.36637493355648	0.20709226153847252	-0.00816311004830228	211.92228144756385	33.16048256094686	211.16618296046633	11.021856137028946	0.25103474124802994	0.2310964095361794	0.20709226153847252	22.118657808748175	7.0
92.0	0.2	33.58918947667197	0.20656335385860367	-0.006935295803974811	211.4885086666057	33.334167739470246	210.54675836065658	11.115865001613807	0.25362940628873365	0.2294720266226424	0.20656335385860367	22.274622877654327	7.0
93.0	0.2	34.286626946519206	0.20489853471491895	-0.005728936827192832	210.78342178481424	33.95593146285956	210.19007797250956	11.473512399106896	0.25229487401961864	0.22797780342413282	0.20489853471491895	22.092901412303632	7.0
94.0	0.2	34.586729153543644	0.2032818837482712	-0.004816023013570231	210.76471952708965	34.85900116928619	209.4649585396566	11.589403001296105	0.2474738978006246	0.22747822282737157	0.2032818837482712	22.14702423833886	7.0
95.0	0.2	34.587034850139254	0.20199436704284024	-0.003821237082033274	209.994180174788	34.442518374099855	209.4927452563811	11.596282542854357	0.24746036530369284	0.2262034782502188	0.20199436704284024	21.953206799439066	7.0
96.0	0.2	35.911013739242655	0.19813018842079608	-0.002750698808551305	209.42802912514145	35.80229521818983	208.8338981358072	11.60828026312798	0.2489333264053058	0.2256849407176877	0.19813018842079608	21.978257179441403	7.0
97.0	0.2	37.680501180059174	0.20030917722251212	-0.0013703244626240285	208.9097007644143	37.47439468856698	206.93493349024135	11.700810948918289	0.24640377048906204	0.22423899744141504	0.20030917722251212	21.698658234094065	7.0
98.0	0.2	38.80366724855864	0.2005970235351693	-0.0004461313543553669	206.8213092110374	38.714818802510166	205.4420157539346	12.152504048001921	0.24600705796989006	0.22314011279169985	0.2005970235351693	21.761403222254906	7.0
99.0	0.2	38.27482472756229	0.19735569684341286	0.0004881530902722808	205.96015296476173	38.225735369312076	205.239248325854	12.21498721360152	0.24704072624413892	0.22261080326353633	0.19735569684341286	21.741055720933854	7.0
100.0	0.2	38.89023509238665	0.19864348031106485	0.0012723254015571117	205.7002534202538	38.7979466936937	204.18301852185428	12.20392728228401	0.24374550139491613	0.22179220936207197	0.19864348031106485	21.687685725198175	7.0
101.0	0.2	39.75991617619459	0.19558630389307874	0.0020468992148391374	204.83722828742592	39.827608425425	204.0885561601251	12.56329420363312	0.24492562438395252	0.22084747100890204	0.19558630389307874	21.635975878803553	7.0
102.0	0.2	41.4643196042426	0.19590761427824513	0.003229566421147634	203.9544708441094	41.02148637093926	202.98126516663962	12.588992299782738	0.24398472612489716	0.22014106250962998	0.19590761427824513	21.718277494021738	7.0
